metric_id,kind,name,description,numerator_description,denominator_description,data_source,definition_source,definition_source_code,definition_rationale,tupaia_code,unit,subject_grain,disaggregations,variant_of,owner,status,spec_path
cohort_ncd_6m,cohort,6-month NCD cohort,NCD-registry patients whose registration first became ncdactive 9 months before the reporting month and who were still in the program at the 6-month evaluation point.,,,tamanu,MSF,,MSF NCD program 6-month evaluation cohort,,,patient,"age,sex,facility_id",,bes-maui,approved,
cohort_ncd_registry,cohort,NCD program registry cohort,NCD-registry patients (all clinical statuses except waitlist) with conditions pivoted to columns and the latest exit-survey info.,,,tamanu,MSF,,MSF NCD program registry definition,,,patient,"sex,facility_id",,bes-maui,approved,
consultations_followup,metric,Follow-up NCD consultations,Patients with a second or later consultation in the NCD program during the reporting month.,Patients with consultation_number > 1 in ds__ncd_consultations during the period,,tamanu,MSF,,,,count,patient,"dhis_ncd_category,age_group,sex,facility_id",,bes-maui,approved,
consultations_new,metric,New NCD consultations,Patients whose first lifetime consultation in the NCD program falls in the reporting month.,Patients with consultation_number = 1 in ds__ncd_consultations during the period,,tamanu,MSF,,MSF NCD program operational definition,,count,patient,"dhis_ncd_category,age_group,sex,facility_id",,bes-maui,approved,
diabetes_bp_controlled,metric,Diabetes patients with controlled BP,Diabetes patients with a controlled blood-pressure measurement in the reporting month.,Distinct diabetes patients with bp_controlled = 1,,tamanu,MSF,,,,count,patient,"age_group,sex,facility_id",,bes-maui,approved,
diabetes_bp_measured,metric,Diabetes patients with BP measured,Diabetes patients with at least one blood-pressure measurement in the reporting month.,Distinct diabetes patients in int__ncd_general_with_measurements with a non-null bp_controlled,,tamanu,MSF,,,,count,patient,"age_group,sex,facility_id",,bes-maui,approved,
diabetes_hba1c_controlled,metric,Diabetes patients with controlled HbA1c,Diabetes patients with a controlled HbA1c measurement in the reporting month.,Distinct diabetes patients with hba1c_controlled = 1,,tamanu,MSF,,,,count,patient,"age_group,sex,facility_id",,bes-maui,approved,
diabetes_hba1c_measured,metric,Diabetes patients with HbA1c measured,Diabetes patients with at least one HbA1c test in the reporting month.,Distinct diabetes patients with a non-null hba1c_controlled,,tamanu,MSF,,,,count,patient,"age_group,sex,facility_id",,bes-maui,approved,
diagnoses,metric,Patients with active NCD diagnosis,Patients with an active NCD registration carrying the given condition by the end of the reporting month.,Distinct patients in der__cohort_ncd_registry_conditions where diagnosis_date and active_status_date precede month end and exit is not yet recorded,,tamanu,MSF,,,,count,patient,"dhis_ncd_category,age_group,sex,facility_id",,bes-maui,approved,
diagnoses_new,metric,New NCD diagnoses,Patients whose NCD registration first transitioned to ncdactive carrying the given condition during the reporting month.,Distinct patients in der__cohort_ncd_registry_conditions whose active_status_date falls in the reporting month,,tamanu,MSF,,,,count,patient,"dhis_ncd_category,age_group,sex,facility_id",,bes-maui,approved,
exit_deceased,metric,NCD exits — deceased,Patients exited from the NCD program as deceased during the reporting month.,Distinct patients with exit_status = Deceased and exit_recorded_date in the reporting month,,tamanu,MSF,,,,count,patient,"dhis_ncd_category,age_group,sex,facility_id",,bes-maui,approved,
exit_ltfu,metric,NCD exits — lost to follow-up,Patients exited from the NCD program as lost-to-follow-up during the reporting month.,Distinct patients with exit_status = LTFU and exit_recorded_date in the reporting month,,tamanu,MSF,,,,count,patient,"dhis_ncd_category,age_group,sex,facility_id",,bes-maui,approved,
exit_other,metric,NCD exits — other,Patients exited from the NCD program for other reasons (clinically discharged voluntary exit other) during the reporting month.,Distinct patients with exit_status in (clinically discharged voluntary exit other) and exit_recorded_date in the reporting month,,tamanu,MSF,,,,count,patient,"dhis_ncd_category,age_group,sex,facility_id",,bes-maui,approved,
exit_transferred,metric,NCD exits — transferred or referred out,Patients exited from the NCD program as transferred or referred out during the reporting month.,Distinct patients with exit_status = Transferred/Referred Out and exit_recorded_date in the reporting month,,tamanu,MSF,,,,count,patient,"dhis_ncd_category,age_group,sex,facility_id",,bes-maui,approved,
htn_bp_controlled,metric,Hypertension patients with controlled BP,Hypertension patients with a controlled blood-pressure measurement in the reporting month.,Distinct hypertension patients with bp_controlled = 1,,tamanu,MSF,,,,count,patient,"age_group,sex,facility_id",,bes-maui,approved,
htn_bp_measured,metric,Hypertension patients with BP measured,Hypertension patients with at least one blood-pressure measurement in the reporting month.,Distinct hypertension patients in int__ncd_general_with_measurements with a non-null bp_controlled,,tamanu,MSF,,,,count,patient,"age_group,sex,facility_id",,bes-maui,approved,
patients_active,metric,Active NCD patients,Patients with an active NCD registration as of the reporting month.,Distinct patients in ds__ncd_registry whose active_status_date precedes month end and exit is not yet recorded,,tamanu,MSF,,,,count,patient,"age_group,sex,facility_id",,bes-maui,approved,
patients_new,metric,Newly enrolled NCD patients,Patients whose NCD registration first transitioned to ncdactive during the reporting month and were still active at month end.,Distinct patients in ds__ncd_registry whose active_status_date falls in the reporting month and who have no earlier exit,,tamanu,MSF,,,,count,patient,"age_group,sex,facility_id",,bes-maui,approved,
referred_specialist,metric,NCD specialist referrals,Patients referred to a specialist via the NCDRef001 form during the reporting month.,Count of NCDRef001 responses with response date in the reporting month,,tamanu,MSF,,,,count,patient,"dhis_ncd_category,age_group,sex,facility_id",,bes-maui,approved,
