metric_id,kind,name,description,numerator_description,denominator_description,data_source,definition_source,definition_source_code,definition_rationale,unit,subject_grain,disaggregations,variant_of,owner,status,spec_path
consultations_new,metric,New NCD consultations,Patients whose first lifetime consultation in the NCD program falls in the reporting month.,Patients attending their first lifetime NCD consultation in the reporting month,,tamanu,MSF,,MSF NCD program operational definition,count,patient,"dhis_ncd_category,age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
diabetes_bp_controlled,metric,Diabetes patients with controlled BP,Diabetes patients with a controlled blood-pressure measurement in the reporting month.,Distinct diabetes patients with a controlled blood-pressure measurement in the reporting month,,tamanu,MSF,,MSF NCD program operational definition,count,patient,"age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
diabetes_bp_measured,metric,Diabetes patients with BP measured,Diabetes patients with at least one blood-pressure measurement in the reporting month.,Distinct diabetes patients with at least one recorded blood-pressure measurement in the reporting month,,tamanu,MSF,,MSF NCD program operational definition,count,patient,"age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
diabetes_hba1c_controlled,metric,Diabetes patients with controlled HbA1c,Diabetes patients with a controlled HbA1c measurement in the reporting month.,Distinct diabetes patients with a controlled HbA1c measurement in the reporting month,,tamanu,MSF,,MSF NCD program operational definition,count,patient,"age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
diabetes_hba1c_measured,metric,Diabetes patients with HbA1c measured,Diabetes patients with at least one HbA1c test in the reporting month.,Distinct diabetes patients with at least one recorded HbA1c measurement in the reporting month,,tamanu,MSF,,MSF NCD program operational definition,count,patient,"age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
diagnoses,metric,Patients with active NCD diagnosis,Patients with an active NCD registration carrying the given condition by the end of the reporting month.,Distinct patients with an active NCD registration carrying the given condition by the end of the reporting month,,tamanu,MSF,,MSF NCD program operational definition,count,patient,"dhis_ncd_category,age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
diagnoses_new,metric,New NCD diagnoses,Patients whose NCD registration first transitioned to ncdactive carrying the given condition during the reporting month.,Distinct patients whose NCD registration first became active carrying the given condition in the reporting month,,tamanu,MSF,,MSF NCD program operational definition,count,patient,"dhis_ncd_category,age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
exit_deceased,metric,NCD exits — deceased,Patients exited from the NCD program as deceased during the reporting month.,Distinct patients exited from the NCD program as deceased in the reporting month,,tamanu,MSF,,MSF NCD program operational definition,count,patient,"dhis_ncd_category,age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
exit_ltfu,metric,NCD exits — lost to follow-up,Patients exited from the NCD program as lost-to-follow-up during the reporting month.,Distinct patients exited from the NCD program as lost-to-follow-up in the reporting month,,tamanu,MSF,,MSF NCD program operational definition,count,patient,"dhis_ncd_category,age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
exit_other,metric,NCD exits — other,"Patients exited from the NCD program for other reasons (clinically discharged, voluntary exit, other) during the reporting month.","Distinct patients exited from the NCD program in the reporting month for other reasons (clinically discharged, voluntary exit, other)",,tamanu,MSF,,MSF NCD program operational definition,count,patient,"dhis_ncd_category,age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
exit_transferred,metric,NCD exits — transferred or referred out,Patients exited from the NCD program as transferred or referred out during the reporting month.,Distinct patients exited from the NCD program as transferred or referred out in the reporting month,,tamanu,MSF,,MSF NCD program operational definition,count,patient,"dhis_ncd_category,age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
htn_bp_controlled,metric,Hypertension patients with controlled BP,Hypertension patients with a controlled blood-pressure measurement in the reporting month.,Distinct hypertension patients with a controlled blood-pressure measurement in the reporting month,,tamanu,MSF,,MSF NCD program operational definition,count,patient,"age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
htn_bp_measured,metric,Hypertension patients with BP measured,Hypertension patients with at least one blood-pressure measurement in the reporting month.,Distinct hypertension patients with at least one recorded blood-pressure measurement in the reporting month,,tamanu,MSF,,MSF NCD program operational definition,count,patient,"age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
patients_active,metric,Active NCD patients,Patients with an active NCD registration as of the reporting month.,Distinct patients with an active NCD registration as of month end (active before month end and exit not yet recorded),,tamanu,MSF,,MSF NCD program operational definition,count,patient,"age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
patients_new,metric,Newly enrolled NCD patients,Patients whose NCD registration first transitioned to ncdactive during the reporting month and were still active at month end.,Distinct patients whose NCD registration first became active in the reporting month and who were still active at month end,,tamanu,MSF,,MSF NCD program operational definition,count,patient,"age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
referred_specialist,metric,NCD specialist referrals,Patients referred to a specialist via the NCDRef001 form during the reporting month.,Distinct patients referred to a specialist via the NCDRef001 form in the reporting month,,tamanu,MSF,,MSF NCD program operational definition,count,patient,"dhis_ncd_category,age_group,sex,facility_id",,bes-maui,draft,specs/dbt-model/ncd-indicators.md
pmtct_hiv_positive_delivering,metric,HIV+ women delivering in an MSF facility,HIV-positive women who delivered in an MSF facility during the reporting month.,"Distinct women with a PMTCT Delivery form marked delivery-in-MSF-facility = Yes, bucketed by the recorded delivery date falling in the reporting month",,tamanu,MSF,,MSF OCA Standard Indicators Report (HIV/TB/PMTCT) operational definition,count,patient,facility_id,,bes-maui,draft,specs/dbt-model/metric__hivtb_standard_indicators.md
pmtct_hiv_positive_delivering_on_art,metric,HIV+ women delivering on ART,HIV-positive women delivering in an MSF facility who were on ART.,"Distinct women from the delivering-in-MSF cohort who were already on ART at ANC enrolment, or initiated ART at an ANC visit before the delivery date",,tamanu,MSF,,MSF OCA Standard Indicators Report (HIV/TB/PMTCT) operational definition,count,patient,facility_id,,bes-maui,draft,specs/dbt-model/metric__hivtb_standard_indicators.md
pmtct_hiv_exposed_babies_born_alive,metric,HIV-exposed babies born alive,HIV-exposed infants born alive to mothers who delivered in an MSF facility.,"Distinct exposed-child patients with an Exposed Child initial-visit form in the reporting month whose mother (via mother_id) delivered in an MSF facility, with the initial visit within 12 weeks of that delivery",,tamanu,MSF,,MSF OCA Standard Indicators Report (HIV/TB/PMTCT) operational definition,count,patient,facility_id,,bes-maui,draft,specs/dbt-model/metric__hivtb_standard_indicators.md
pmtct_hiv_exposed_newborns_pep_72h,metric,HIV-exposed newborns started on PEP within 72h,HIV-exposed newborns who started post-exposure prophylaxis within 72 hours of birth.,"Distinct exposed-child patients with an initial-visit form in the reporting month recording PEP started within 72h, whose mother (via mother_id) delivered in an MSF facility",,tamanu,MSF,,MSF OCA Standard Indicators Report (HIV/TB/PMTCT) operational definition,count,patient,facility_id,,bes-maui,draft,specs/dbt-model/metric__hivtb_standard_indicators.md
pmtct_hiv_exposed_pcr_dna_done,metric,HIV-exposed infants with initial DNA PCR done,HIV-exposed infants with an initial DNA PCR test performed.,Distinct exposed infants with a published initial DNA PCR lab result in the reporting month whose mother (via mother_id) delivered in an MSF facility,,tamanu,MSF,,MSF OCA Standard Indicators Report (HIV/TB/PMTCT) operational definition,count,patient,facility_id,,bes-maui,draft,specs/dbt-model/metric__hivtb_standard_indicators.md
hiv_plhiv_1st_line_art_0_14y,metric,PLHIV on 1st-line ART (0-14y),People living with HIV aged 0-14 on first-line ART.,"Distinct HIV-cohort patients with an HIV Visit in the reporting month recording a first-line ART regimen, aged 0-14 at the visit date",,tamanu,MSF,,MSF OCA Standard Indicators Report (HIV/TB/PMTCT) operational definition,count,patient,facility_id,,bes-maui,draft,specs/dbt-model/metric__hivtb_standard_indicators.md
hiv_plhiv_2nd_line_art_0_14y,metric,PLHIV on 2nd-line ART (0-14y),People living with HIV aged 0-14 on second-line ART.,"Distinct HIV-cohort patients with an HIV Visit in the reporting month recording a second-line ART regimen, aged 0-14 at the visit date",,tamanu,MSF,,MSF OCA Standard Indicators Report (HIV/TB/PMTCT) operational definition,count,patient,facility_id,,bes-maui,draft,specs/dbt-model/metric__hivtb_standard_indicators.md
hiv_plhiv_3rd_line_art_0_14y,metric,PLHIV on 3rd-line ART (0-14y),People living with HIV aged 0-14 on third-line ART.,"Distinct HIV-cohort patients with an HIV Visit in the reporting month recording a third-line ART regimen, aged 0-14 at the visit date",,tamanu,MSF,,MSF OCA Standard Indicators Report (HIV/TB/PMTCT) operational definition,count,patient,facility_id,,bes-maui,draft,specs/dbt-model/metric__hivtb_standard_indicators.md
hiv_plhiv_1st_line_art_15plus,metric,PLHIV on 1st-line ART (15+),People living with HIV aged 15 and over on first-line ART.,"Distinct HIV-cohort patients with an HIV Visit in the reporting month recording a first-line ART regimen, aged 15 or over at the visit date",,tamanu,MSF,,MSF OCA Standard Indicators Report (HIV/TB/PMTCT) operational definition,count,patient,facility_id,,bes-maui,draft,specs/dbt-model/metric__hivtb_standard_indicators.md
hiv_plhiv_2nd_line_art_15plus,metric,PLHIV on 2nd-line ART (15+),People living with HIV aged 15 and over on second-line ART.,"Distinct HIV-cohort patients with an HIV Visit in the reporting month recording a second-line ART regimen, aged 15 or over at the visit date",,tamanu,MSF,,MSF OCA Standard Indicators Report (HIV/TB/PMTCT) operational definition,count,patient,facility_id,,bes-maui,draft,specs/dbt-model/metric__hivtb_standard_indicators.md
hiv_plhiv_3rd_line_art_15plus,metric,PLHIV on 3rd-line ART (15+),People living with HIV aged 15 and over on third-line ART.,"Distinct HIV-cohort patients with an HIV Visit in the reporting month recording a third-line ART regimen, aged 15 or over at the visit date",,tamanu,MSF,,MSF OCA Standard Indicators Report (HIV/TB/PMTCT) operational definition,count,patient,facility_id,,bes-maui,draft,specs/dbt-model/metric__hivtb_standard_indicators.md
hiv_plhiv_ever_started_art,metric,PLHIV ever started on ART,"People living with HIV who have ever started ART, as of the reporting month end.","Distinct HIV-cohort patients with at least one HIV Visit up to month end whose ART status is Initiated ART, On ART, Transferred out, or Refused (stopped) treatment (cumulative)",,tamanu,MSF,,MSF OCA Standard Indicators Report (HIV/TB/PMTCT) operational definition,count,patient,facility_id,,bes-maui,draft,specs/dbt-model/metric__hivtb_standard_indicators.md
hiv_plhiv_active_care_0_14y,metric,PLHIV in active care (0-14y),People living with HIV aged 0-14 on ART and in active care at the reporting month end.,"Distinct HIV-cohort patients whose point-in-time HIV Visit status as of month end is On ART, aged 0-14 at that visit",,tamanu,MSF,,MSF OCA Standard Indicators Report (HIV/TB/PMTCT) operational definition,count,patient,facility_id,,bes-maui,draft,specs/dbt-model/metric__hivtb_standard_indicators.md
hiv_plhiv_active_care_15plus,metric,PLHIV in active care (15+),People living with HIV aged 15 and over on ART and in active care at the reporting month end.,"Distinct HIV-cohort patients whose point-in-time HIV Visit status as of month end is On ART, aged 15 or over at that visit",,tamanu,MSF,,MSF OCA Standard Indicators Report (HIV/TB/PMTCT) operational definition,count,patient,facility_id,,bes-maui,draft,specs/dbt-model/metric__hivtb_standard_indicators.md
hiv_plhiv_tested_viral_load,metric,PLHIV tested for viral load,People living with HIV with a viral load test in the trailing 12 months.,Distinct patients with a published viral load result in the 12 months up to the reporting month end,,tamanu,MSF,,MSF OCA Standard Indicators Report (HIV/TB/PMTCT) operational definition,count,patient,facility_id,,bes-maui,draft,specs/dbt-model/metric__hivtb_standard_indicators.md
hiv_plhiv_virologically_suppressed,metric,PLHIV virologically suppressed,People living with HIV virologically suppressed on their most recent viral load.,Distinct patients from the VL-tested cohort whose most recent viral load in the 12-month window is numerically below 1000 copies/mL,,tamanu,MSF,,MSF OCA Standard Indicators Report (HIV/TB/PMTCT) operational definition,count,patient,facility_id,,bes-maui,draft,specs/dbt-model/metric__hivtb_standard_indicators.md
hiv_plhiv_advanced_hiv_active_care,metric,PLHIV with advanced HIV in active care,People living with HIV ever diagnosed with advanced HIV disease who are in active care in the reporting month.,"Distinct HIV-cohort patients with an On-ART or Refused-treatment HIV Visit in the reporting month who ever had a CD4 result at or below 200, or WHO stage 3/4 at that visit, or age 5 or under at that visit",,tamanu,MSF,,MSF OCA Standard Indicators Report (HIV/TB/PMTCT) operational definition,count,patient,facility_id,,bes-maui,draft,specs/dbt-model/metric__hivtb_standard_indicators.md
tb_ds_admissions,metric,DS-TB admissions,Drug-susceptible TB treatment episodes started in the reporting month.,"Count of TB treatment episodes initiated in the reporting month with a drug-susceptible resistance classification (DS, Mono, or Poly)",,tamanu,MSF,,MSF OCA Standard Indicators Report (HIV/TB/PMTCT) operational definition,count,episode,facility_id,,bes-maui,draft,specs/dbt-model/metric__hivtb_standard_indicators.md
tb_ds_admissions_0_14y,metric,DS-TB admissions (0-14y),Drug-susceptible TB treatment episodes started in the reporting month for children aged 0-14.,Count of DS-TB treatment episodes initiated in the reporting month for patients aged 0-14 at treatment initiation,,tamanu,MSF,,MSF OCA Standard Indicators Report (HIV/TB/PMTCT) operational definition,count,episode,facility_id,,bes-maui,draft,specs/dbt-model/metric__hivtb_standard_indicators.md
tb_mdr_rr_treatment_started,metric,MDR/RR-TB treatment started,MDR/RR-TB treatment episodes started in the reporting month.,"Count of TB treatment episodes initiated in the reporting month with an MDR, RR, Pre-XDR, or XDR resistance classification",,tamanu,MSF,,MSF OCA Standard Indicators Report (HIV/TB/PMTCT) operational definition,count,episode,facility_id,,bes-maui,draft,specs/dbt-model/metric__hivtb_standard_indicators.md
tb_ds_known_outcomes_12m,metric,DS-TB episodes with known 12-month outcome,Drug-susceptible TB episodes with a treatment outcome recorded within 12 months.,Count of DS-TB episodes initiated 12 months before the reporting month with any treatment outcome form recorded within the 12-month episode window,,tamanu,MSF,,MSF OCA Standard Indicators Report (HIV/TB/PMTCT) operational definition,count,episode,facility_id,,bes-maui,draft,specs/dbt-model/metric__hivtb_standard_indicators.md
tb_ds_treatment_success_12m,metric,DS-TB treatment success (12-month),Drug-susceptible TB episodes treated successfully within 12 months.,Count of the 12-month DS-TB known-outcome cohort whose recorded outcome is Cured or Treatment Completed,,tamanu,MSF,,MSF OCA Standard Indicators Report (HIV/TB/PMTCT) operational definition,count,episode,facility_id,,bes-maui,draft,specs/dbt-model/metric__hivtb_standard_indicators.md
tb_mdr_rr_known_outcomes_24m,metric,MDR/RR-TB episodes with known 24-month outcome,MDR/RR-TB episodes with a treatment outcome recorded within 24 months.,Count of MDR/RR-TB episodes initiated 24 months before the reporting month with any treatment outcome form recorded within the 24-month episode window,,tamanu,MSF,,MSF OCA Standard Indicators Report (HIV/TB/PMTCT) operational definition,count,episode,facility_id,,bes-maui,draft,specs/dbt-model/metric__hivtb_standard_indicators.md
tb_mdr_rr_treatment_success_24m,metric,MDR/RR-TB treatment success (24-month),MDR/RR-TB episodes treated successfully within 24 months.,Count of the 24-month MDR/RR-TB known-outcome cohort whose recorded outcome is Cured or Treatment Completed,,tamanu,MSF,,MSF OCA Standard Indicators Report (HIV/TB/PMTCT) operational definition,count,episode,facility_id,,bes-maui,draft,specs/dbt-model/metric__hivtb_standard_indicators.md
