stringId,default
report.reporting.encounterStartDateTime,Encounter start date and time
report.reporting.encounterStartTime,Encounter start time
report.reporting.encounterSupervisingClinician,Supervising clinician
report.reporting.encounterType,Type
report.reporting.encounterTypeEmergency,Emergency encounter type
report.reporting.encounterTypeInpatient,Inpatient encounter type
report.reporting.encounterTypeOutpatient,Outpatient encounter type
report.reporting.facility,Facility
report.reporting.hospitalAdmissionCount,Number of admissions
report.reporting.hospitalAverageLengthOfStay,Average length of stay
report.reporting.hospitalBedOccupancyPercent,Bed occupancy (%)
report.reporting.hospitalDeathCount,Number of deaths
report.reporting.hospitalDischargeCount,Number of discharges
report.reporting.hospitalPatientDayCount,Number of patient days
report.reporting.hospitalTransfersIntoDepartmentCount,Number of transfers into department
report.reporting.hospitalTransfersIntoLocationCount,Number of transfers into location
report.reporting.hospitalTransfersOutOfDepartmentCount,Number of transfers out of department
report.reporting.hospitalTransfersOutOfLocationCount,Number of transfers out of location
report.reporting.imagingArea,Area to be imaged
report.reporting.imagingCancellationReason,Reason for cancellation
report.reporting.imagingCompletedDateTime,Completed date and time
report.reporting.imagingCompletedRequests,Total requests completed
report.reporting.imagingPendingRequests,Total requests with a status of pending
report.reporting.imagingPriority,Priority
report.reporting.imagingRequestDateTime,Request date and time
report.reporting.imagingRequestId,Request ID
report.reporting.imagingRequestingClinician,Requesting clinician
report.reporting.imagingRequests,Imaging requests
report.reporting.imagingStatus,Status
report.reporting.imagingSupervisingClinician,Supervising clinician
report.reporting.imagingTotalRequests,Total new requests
report.reporting.imagingType,Imaging type
report.reporting.insurerId,Insurer ID
report.reporting.insurerName,Name of insurer
report.reporting.invoiceInsurerAmount,Total insurer amount
report.reporting.invoiceInsurers,Insurer
report.reporting.invoiceInsurerTotal,Insurer total
report.reporting.invoiceNumber,Invoice number
report.reporting.invoicePatientAmount,Total patient amount
report.reporting.invoicePatientDiscount,Total patient discount
report.reporting.invoiceRemainingInsurerBalance,Remaining balance (insurer payments)
report.reporting.invoiceRemainingPatientBalance,Remaining balance (patient)
report.reporting.invoiceTotalAmount,Total invoice amount
report.reporting.labLaboratory,Laboratory
report.reporting.labRequestCancellationReason,Reason for cancellation
report.reporting.labRequestClinician,Requesting clinician
report.reporting.labRequestCompletedDateTime,Completed date and time
report.reporting.labRequestDates,Lab request dates
report.reporting.labRequestDateTime,Lab request date and time
report.reporting.labRequestDepartment,Requesting department
report.reporting.labRequestId,Request ID
report.reporting.labRequestNewCount,Total new requests
report.reporting.labRequestPendingCount,Total requests with a status of results pending
report.reporting.labRequestPriority,Priority
report.reporting.labRequestPublishedCount,Total requests published
report.reporting.labRequestPublishedDateTime,Lab request published date and time
report.reporting.labRequests,Lab requests
report.reporting.labRequestSampleCollectedBy,Sample collected by
report.reporting.labRequestSampleCollectionDateTime,Sample collection date and time
report.reporting.labRequestSampleSite,Site
report.reporting.labRequestSpecimenType,Specimen type
report.reporting.labRequestStatus,Status
report.reporting.labTestCategory,Test category
report.reporting.labTestCompletedDateTime,Lab test completed date and time
report.reporting.labTestDate,Lab test date
report.reporting.labTestPanel,Lab test panel
report.reporting.labTestRequested,Test requested
report.reporting.labTestResults,Result
report.reporting.labTestType,Lab test type
report.reporting.labTestVerification,Verification
report.reporting.location,Location
report.reporting.locationGroup,Area
report.reporting.locationGroups,Areas
report.reporting.locations,Locations
report.reporting.logAccessAtFacility,Viewed at facility
report.reporting.logAccessBy,Viewed by user
report.reporting.logAccessDatetime,Date and time viewed
report.reporting.logChangeBy,Edited by user
report.reporting.logChangeDateTime,Date and time edited
report.reporting.logChangeRecordCreatedDateTime,Date and time created
report.reporting.medications,Medications
report.reporting.noteEndDateTime,Notes end date and time
report.reporting.notes,Notes
report.reporting.noteStartDateTime,Notes start date and time
report.reporting.patientAge,Age
report.reporting.patientAllergies,Allergies
report.reporting.patientBillingType,Billing type
report.reporting.patientBirthCertificate,Birth certificate
report.reporting.patientBloodType,Blood type
report.reporting.patientCategory,Patient category
report.reporting.patientConditions,Patient conditions
report.reporting.patientContactNumber,Contact number
report.reporting.patientCountryOfBirth,Country of birth
report.reporting.patientCulturalName,Cultural name
report.reporting.patientDateOfBirth,Date of birth
report.reporting.patientDateOfDeath,Date of death
report.reporting.patientDeceasedOrActive,Deceased/Active
report.reporting.patientDisplayId,Patient ID
report.reporting.patientDivision,Division
report.reporting.patientDrivingLicense,Driving license
report.reporting.patientEmergencyContactName,Emergency contact name
report.reporting.patientEmergencyContactNumber,Emergency contact number
report.reporting.patientEthnicity,Ethnicity
report.reporting.patientFather,Father
report.reporting.patientFemaleCount,Total patients (female)
report.reporting.patientFirstName,First name
report.reporting.patientInsurancePolicyNumber,Insurance policy number
report.reporting.patientLastName,Last name
report.reporting.patientMaleCount,Total patients (male)
report.reporting.patientMaritalStatus,Marital status
report.reporting.patientMedicalArea,Medical area
report.reporting.patientMiddleName,Middle name
report.reporting.patientMother,Mother
report.reporting.patientName,Patient name
report.reporting.patientNationality,Nationality
report.reporting.patientOccupation,Occupation
report.reporting.patientPassport,Passport
report.reporting.patientPlaceOfBirth,Place of birth
report.reporting.patientPrimaryContactNumber,Primary contact number
report.reporting.patientRegisteredBy,Registered by
report.reporting.patientRegistrationDate,Registration date
report.reporting.patientRegistrationType,Registration type
report.reporting.patientReligion,Religion
report.reporting.patientSecondaryContactNumber,Secondary contact number
report.reporting.patientSex,Sex
report.reporting.patientSSN,Social security number
report.reporting.patientStreetVillage,Street / Village
report.reporting.patientSubDivision,Sub-division
report.reporting.patientTitle,Title
report.reporting.patientTotal,Total patients
report.reporting.patientTotalBirthRegistrations,Total birth registrations
report.reporting.patientTotalIncorrectRegistrationsForAgedUnder6Months,Total incorrect registrations for aged under 6 months
report.reporting.patientTotalMerged,Total patients merged
report.reporting.patientTotalPatientRegistrations,Total patient registrations
report.reporting.patientTotalWithIncompleteName,Total patients with incomplete name
report.reporting.patientTotalWithInvalidDateOfBirth,Total patients with invalid date of birth
report.reporting.patientTotalWithMissingContact,Total patients with missing contact
report.reporting.patientTotalWithMissingDateOfBirth,Total patients with missing date of birth
report.reporting.patientTotalWithMissingLocation,Total patients with missing location
report.reporting.patientVillage,Village
report.reporting.paymentAmount,Applied payment (amount)
report.reporting.paymentDate,Payment date
report.reporting.paymentMethod,Method
report.reporting.paymentReceiptNumber,Receipt number
report.reporting.paymentReceivedBy,Tamanu user name
report.reporting.prescriptionDate,Prescription date
report.reporting.prescriptionDoseAmount,Dose amount
report.reporting.prescriptionFrequency,Frequency
report.reporting.prescriptionIsOngoing,Is ongoing
report.reporting.prescriptionIsPRN,Is PRN
report.reporting.prescriptionIsVariableDose,Is variable dose
report.reporting.prescriptionMedication,Medication
report.reporting.prescriptionMedicationCode,Code
report.reporting.prescriptionQuantity,Quantity
report.reporting.prescriptionRepeats,Repeats
report.reporting.prescriptionRoute,Route
report.reporting.prescriptionSelectedForDischarge,Prescription selected for discharge
report.reporting.prescriptionUnits,Units
report.reporting.procedure,Procedure
report.reporting.procedureAnaesthetist,Procedure anaesthetist
report.reporting.procedureAssistant,Procedure assistant
report.reporting.procedureAssistantAnaesthetist,Procedure assistant anesthetist
report.reporting.procedureClinician,Procedure clinician
report.reporting.procedureDate,Procedure date
report.reporting.procedureDuration,Procedure duration
report.reporting.procedureEndDateTime,Procedure end (date and time)
report.reporting.procedureFacility,Procedure facility
report.reporting.procedureIsCompleted,Procedure marked as completed
report.reporting.procedureLocation,Procedure location
report.reporting.procedureLocationGroup,Procedure area
report.reporting.procedures,Procedures
report.reporting.procedureStartDateTime,Procedure start (date and time)
report.reporting.procedureTimeIn,Procedure time in
report.reporting.procedureTimeOut,Procedure time out
report.reporting.referralCompletedBy,Referring doctor
report.reporting.referralDate,Referral date
report.reporting.referralType,Referral name
report.reporting.registryClinicalStatus,Status
report.reporting.registryCondition,Related Condition
report.reporting.registryConditionCategories,Related condition categories
report.reporting.registryConditionCategory,Related condition category
report.reporting.registryConditionRecordedBy,Condition added by
report.reporting.registryConditionRecordedDate,Date condition added
report.reporting.registryConditions,Related conditions
report.reporting.registryCurrentlyAt,Currently at
report.reporting.registryDeactivatedBy,Deactivated by
report.reporting.registryDeactivatedDate,Date of deactivation
report.reporting.registryRegisteredBy,Registered by
report.reporting.registryRegisteredDate,Date of registration
report.reporting.registryRegisteringFacility,Registering facility
report.reporting.registryRegistrationStatus,Registration status
report.reporting.reportingDate,Date
report.reporting.reportingMonth,Month
report.reporting.requestingDepartment,Requesting department
report.reporting.triageArrivalMode,Arrival mode
report.reporting.triageCategory,Triage category
report.reporting.triageRecordCount,Number of triage records
report.reporting.triageWaitingTime,Time seen following triage/Waiting time (hh:mm:ss)
report.reporting.userEmail,User email
report.reporting.userName,User name
report.reporting.userRole,User role
report.reporting.vaccinationBatch,Batch
report.reporting.vaccinationDate,Vaccination date
report.reporting.vaccinationDueDate,Vaccination due date
report.reporting.vaccinationGivenBy,Given by
report.reporting.vaccinationGivenElseWhereCircumstances,"If given elsewhere, Circumstances"
report.reporting.vaccinationGivenElsewhereCountry,"If given elsewhere, Country"
report.reporting.vaccinationIsConsented,Consent given
report.reporting.vaccinationModifiedBy,Record modified by
report.reporting.vaccinationModifiedDate,Record modification date
report.reporting.vaccinationNotGivenClinician,"If not given, Supervising clinician"
report.reporting.vaccinationNotGivenDate,Date vaccine not given
report.reporting.vaccinationNotGivenReason,"If not given, Reason not given"
report.reporting.vaccinationRecordedBy,Recorded by
report.reporting.vaccinations,Vaccinations
report.reporting.vaccinationStatus,Vaccine status
report.reporting.vaccineBrand,"If category of Other, Vaccine brand"
report.reporting.vaccineCategory,Vaccine category
report.reporting.vaccineDisease,"If category of Other, Disease"
report.reporting.vaccineName,Vaccine name
report.reporting.vaccineSchedule,Schedule
